vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000
 1.00000000000e-001, 4.67565317616e-005, 1.05036837820e-004, 1.52973271056e-004, 1.93095191366e-004, 2.27169446730e-004, 2.56467573125e-004, 2.81927994437e-004, 3.04258401520e-004
 2.00000000000e-001, 8.56778858745e-005, 2.01926174973e-004, 2.97714618104e-004, 3.78007769521e-004, 4.46284185362e-004, 5.05053704420e-004, 5.56172712863e-004, 6.01043811303e-004
 3.00000000000e-001, 1.17000120111e-004, 2.90890008361e-004, 4.34428763682e-004, 5.54924896807e-004, 6.57514763439e-004, 7.45913730865e-004, 8.22875790602e-004, 8.90485618192e-004
 4.00000000000e-001, 1.40949903947e-004, 3.72142342412e-004, 5.63313697719e-004, 7.24028070761e-004, 8.61026947430e-004, 9.79198933987e-004, 1.08217540299e-003, 1.17271024115e-003
 5.00000000000e-001, 1.57744980697e-004, 4.45889545551e-004, 6.84560952046e-004, 8.85493336825e-004, 1.05698188910e-003, 1.20505667136e-003, 1.33420637038e-003, 1.44784121398e-003
 6.00000000000e-001, 1.67594602616e-004, 5.12330687771e-004, 7.98355861577e-004, 1.03949149154e-003, 1.24553628500e-003, 1.42363050299e-003, 1.57910025936e-003, 1.71599926719e-003
 7.00000000000e-001, 1.70713649824e-004, 5.71657860453e-004, 9.04877812925e-004, 1.18618827673e-003, 1.42684252933e-003, 1.63506031289e-003, 1.81698548033e-003, 1.97730240702e-003
 8.00000000000e-001, 1.70936067606e-004, 6.24056479513e-004, 1.00430048114e-003, 1.32574456511e-003, 1.60104886066e-003, 1.83948242597e-003, 2.04798738156e-003, 2.23186599189e-003
 9.00000000000e-001, 1.71158841813e-004, 6.69705572878e-004, 1.09679205522e-003, 1.45831653780e-003, 1.76829950254e-003, 2.03702972055e-003, 2.27222833995e-003, 2.47980280622e-003
 1.00000000000e+000, 1.71381973203e-004, 7.08778053243e-004, 1.18251545305e-003, 1.58405585410e-003, 1.92873479860e-003, 2.22783173655e-003, 2.48982784853e-003, 2.72122313187e-003
 1.10000000000e+000, 1.71605462537e-004, 7.41440976960e-004, 1.26162852628e-003, 1.70310981398e-003, 2.08249134207e-003, 2.41201477970e-003, 2.70090260094e-003, 2.95623481709e-003
 1.20000000000e+000, 1.71829310577e-004, 7.67855789895e-004, 1.33428425573e-003, 1.81562151357e-003, 2.22970210030e-003, 2.58970202186e-003, 2.90556657290e-003, 3.18494334338e-003
 1.30000000000e+000, 1.72053518088e-004, 7.88178560993e-004, 1.40063093786e-003, 1.92172999409e-003, 2.37049653423e-003, 2.76101359760e-003, 3.10393110091e-003, 3.40745188996e-003
 1.40000000000e+000, 1.72278085836e-004, 8.02560204280e-004, 1.46081236265e-003, 2.02157038445e-003, 2.50500071324e-003, 2.92606669725e-003, 3.29610495820e-003, 3.62386139633e-003
 1.50000000000e+000, 1.72503014592e-004, 8.11146689952e-004, 1.51496798354e-003, 2.11527403791e-003, 2.63333742545e-003, 3.08497565655e-003, 3.48219442804e-003, 3.83427062264e-003
 1.60000000000e+000, 1.72728305124e-004, 8.14172119834e-004, 1.56323307967e-003, 2.20296866303e-003, 2.75562628386e-003, 3.23785204304e-003, 3.66230337462e-003, 4.03877620824e-003
